"id","deviceid","timestamp","speed","direction","vehicletype"
"db0ed013-8f03-4687-bb45-f91dae4fbdbd","Vehicle-DM258","2026-02-01 18:58:02.407","32.821455238862484","North-East","private"
"787ab5ee-6e87-4fa9-b68d-41ec98f2aade","Vehicle-DM258","2026-02-01 18:58:53.407","21.448629299148877","North-East","private"
"b6079549-bc7d-4b60-9bc8-845ba6d26f90","Vehicle-DM258","2026-02-01 18:59:46.407","17.45575535482432","North-East","private"
"cb6bf407-9f6d-43a1-a96b-5cb75ed3c385","Vehicle-DM258","2026-02-01 01:27:25.885","1.3055942152369715","North-East","private"
"73a25032-87a3-4296-aecf-4d60f2f0f840","Vehicle-DM258","2026-02-01 01:28:15.885","10.625298865625608","North-East","private"
"235fa0fc-9051-4f30-83ac-be5b172daf2b","Vehicle-DM258","2026-02-01 01:29:07.885","10.889847725770526","North-East","private"
"27ec0bab-7cd9-4229-94ca-38bf5e3c53df","Vehicle-DM258","2026-02-01 19:31:05.407","28.209115241000102","North-East","private"
"7ee4c2bd-7606-4fc4-9714-4d76496a24e3","Vehicle-DM258","2026-02-01 19:31:45.407","34.967614962172334","North-East","private"
"066e2d10-360e-4b2f-9bc6-3437b11649f4","Vehicle-DM258","2026-02-01 19:32:34.407","25.993466103170903","North-East","private"
"97360487-9f16-4ebd-8acb-513bcbbbd1bf","Vehicle-DM258","2026-02-01 19:21:17.407","3.969342990991529","North-East","private"
"e587cbc9-5d12-46ac-b339-c0622788b364","Vehicle-DM258","2026-02-01 19:22:06.407","1.3055942152369715","North-East","private"
"458bd60f-51be-4597-b430-e4535d753ba3","Vehicle-DM258","2026-02-01 19:35:13.407","37.80942539738584","North-East","private"
"76470b39-1ba7-42df-8776-97a7fad3afe1","Vehicle-DM258","2026-02-01 01:42:01.885","11.44776605836778","North-East","private"
"6bfce8e4-6dbb-4fb4-b6d1-143d8e0937f2","Vehicle-DM258","2026-02-01 01:42:40.885","1.3345812498252974","North-East","private"
"e365731f-1249-470a-9f53-76356f479be3","Vehicle-DM258","2026-02-01 19:35:46.407","22.876907694029555","North-East","private"
"e8fd7d53-35bf-4829-bb25-4cc78553ac27","Vehicle-DM258","2026-02-01 19:36:42.407","11.44776605836778","North-East","private"
"a25b39a2-41a3-44db-a7c3-997ad4c3c1d0","Vehicle-DM258","2026-02-01 19:37:21.407","1.3345812498252974","North-East","private"
"1ddd0cd8-9b41-46ed-bb8c-021e792ebca7","Vehicle-DM258","2026-02-01 19:38:02.407","36.53947897926788","North-East","private"
"04c9f813-4194-4bec-9f70-a8f26354841f","Vehicle-DM258","2026-02-01 19:38:56.407","34.40562387595287","North-East","private"
"09b648ca-5f8f-4bb8-a0b9-f7f867e59a88","Vehicle-DM258","2026-02-01 19:39:37.407","26.893631894040524","North-East","private"
"d340455e-c32c-4c6d-9119-727d6000d7ec","Vehicle-DM258","2026-02-01 19:40:09.407","18.570701452907215","North-East","private"
"972c32ae-1128-4956-aa30-4c6d9ca1860f","Vehicle-DM258","2026-02-01 19:40:43.407","14.840460619475309","North-East","private"
"5b2107eb-182a-45ae-8a54-43083e5d140b","Vehicle-DM258","2026-02-01 19:41:35.407","17.735323442428065","North-East","private"
"1b7ad35e-b96e-4a57-b9aa-2eca889478e4","Vehicle-DM258","2026-02-01 19:42:08.407","32.96764327726286","North-East","private"
"7eeac522-4f3f-4013-a6de-2aead0c1b66a","Vehicle-DM258","2026-02-01 19:42:44.407","30.60629503554338","North-East","private"
"410b3576-1515-45ff-993f-f37753cdcea3","Vehicle-DM258","2026-02-01 19:43:18.407","31.940552942304944","North-East","private"
"535259f0-0f13-43a7-9b2a-dfae163b5605","Vehicle-DM258","2026-02-01 19:44:11.407","4.5459722714618644","North-East","private"
"603c89c6-b23d-4b5d-a7d6-da1c25f408f3","Vehicle-DM258","2026-02-01 19:45:02.407","18.321700883907283","North-East","private"
"f9776335-3d32-4611-a303-1f7646ddfeae","Vehicle-DM258","2026-02-01 19:45:51.407","5.047663532202242","North-East","private"
"72bda6c0-c8da-4206-b843-fa07a3ef97e3","Vehicle-DM258","2026-02-01 19:46:48.407","35.10824852256856","North-East","private"
"a2a91275-87cd-4ce5-990d-50532738ddd1","Vehicle-DM258","2026-02-01 19:47:31.407","10.195591859311168","North-East","private"
"cc182d44-554b-410f-b975-cf7d4191eb94","Vehicle-DM258","2026-02-01 19:48:18.407","26.80053058929183","North-East","private"
