"id","deviceid","location","timestamp","temperature","weathercondition","precipitation","windspeed","humidity","airqualityindex"
"dea05a12-6b78-4e1b-8a39-615753bbfea5","Vehicle-DM258","[52.23588327704901,-1.4481420188646423]","2026-02-01 01:39:57.885","23.2976994967302","Cloudy","5.804711107378807","63.79046310035685","58","127.66335407957702"
"5079777b-6283-4f5c-9f95-e4cc023b1b59","Vehicle-DM258","[52.24607248647261,-1.4655904079789432]","2026-02-01 01:40:32.885","25.617202551772614","Rainy","15.973467559000303","42.430893846089766","32","228.41790633389326"
"885ba876-fc27-4c54-8558-afcf009f23ae","Vehicle-DM258","[51.94552481831839,-0.918876482681657]","2026-02-01 01:15:47.885","2.3948931985560815","Snowy","16.736471115497768","56.396958193001915","27","232.51699171761035"
"8a9d828d-24f3-471a-9bb4-8d86d013ab36","Vehicle-DM258","[51.954980607461756,-0.9363952351877661]","2026-02-01 01:16:40.885","0.07674011518317414","Rainy","2.7024687414401645","2.5678425497466018","39","287.8983642062071"
"fe0a7370-b681-472c-9a29-9d85837904e6","Vehicle-DM258","[51.51732742679845,-0.14590098924477735]","2026-02-01 00:41:22.885","-1.8226495386832675","Sunny","14.762312811225991","3.1782679481783593","11","109.31898740180168"
"924038b3-e896-412d-8bb8-4c762806eaea","Vehicle-DM258","[51.52717667186139,-0.16331096963185496]","2026-02-01 00:42:14.885","13.267236200153171","Sunny","18.970184178244182","15.965931637689012","54","170.12525825899593"
"81a67078-9a87-4ac2-b360-a0f998f21049","Vehicle-DM258","[51.5374218849336,-0.18110037508674234]","2026-02-01 00:42:46.885","5.662627396848105","Rainy","20.178206831859505","72.9731786693818","68","62.41308142660468"
"781af8b8-2f68-46f2-8244-77e889e90d8d","Vehicle-DM258","[51.547261925564875,-0.19839697042248935]","2026-02-01 00:43:35.885","0.9609462979564567","Sunny","1.1456095913915554","22.789827565154685","37","492.61076033037887"
"1c445eba-b857-46c9-823b-55e618494657","Vehicle-DM258","[51.55693005178991,-0.21606956012012093]","2026-02-01 00:44:31.885","1.4947179539161182","Rainy","17.545507836463784","68.35476655366672","9","304.5655028334941"
"2f8e9c8b-4990-4ed5-9cd7-8464198981b2","Vehicle-DM258","[51.56638145428367,-0.23381610467836328]","2026-02-01 00:45:30.885","16.223041780686113","Sunny","5.7262017991026095","3.210024390403776","40","200.58239351116447"
"8f73bda7-d974-4462-ada6-8370e8e4a954","Vehicle-DM258","[51.57658259040786,-0.25137492462688477]","2026-02-01 00:46:22.885","7.264588932880592","Snowy","3.5717897610515665","13.963031952550631","95","280.6840670815754"
"dd38f48b-d1b6-4512-ae30-6614cc6e2416","Vehicle-DM258","[51.58676841329146,-0.2691015241217443]","2026-02-01 00:46:59.885","10.298990881578561","Sunny","21.527572741666646","15.284131934826107","20","396.0396821814821"
"1c7bf7eb-ae17-4fe1-a5ac-156b51496c3c","Vehicle-DM258","[51.596441180603136,-0.2866316356933832]","2026-02-01 00:47:43.885","21.68417076926944","Sunny","17.007085256412964","11.455174298368664","68","375.43889979580484"
"df214f05-3d20-4f26-9869-86b8e4bde6ae","Vehicle-DM258","[51.60602268073178,-0.30459947793903847]","2026-02-01 00:48:13.885","3.1650605732838137","Cloudy","12.69204186510813","10.641082279770497","80","149.22239572431644"
"02168daf-2938-4063-9523-9e4798e5a332","Vehicle-DM258","[51.61546352000033,-0.3219629671389633]","2026-02-01 00:49:00.885","23.47329832626677","Rainy","12.215142700723696","11.186772532089506","46","439.3609389115921"
"7d651123-e92c-4c9e-9c8b-d76c0b69fe53","Vehicle-DM258","[51.624809445166825,-0.3392109575397592]","2026-02-01 00:50:00.885","20.296720856022745","Cloudy","3.20978661249407","47.52823780987313","70","82.56347948706383"
"9b74ec24-490c-4ccb-839c-8d146e393ecd","Vehicle-DM258","[51.635061808072834,-0.356408044046757]","2026-02-01 00:50:54.885","4.6632050303277435","Rainy","10.9525020978626","51.75758410355906","15","123.95280683300398"
"b63c6869-4a71-4675-a0d1-01a26567982e","Vehicle-DM258","[51.64437084233284,-0.3739801225243325]","2026-02-01 00:51:42.885","14.564191675373067","Cloudy","1.6850082027576874","3.1412958053018136","42","35.42867494432672"
