"id","deviceid","cameraid","location","timestamp","snapshot"
"02f7407b-c679-48ef-b4ea-0bf17b515bf8","Vehicle-DM258","Nikon-Camera-123","[52.01343953025743,-1.0427265318259467]","2026-02-01 01:21:40.885","Base64EncodedString"
"f9a7be5e-f1f4-47b6-a3a7-f581dc56b46f","Vehicle-DM258","Nikon-Camera-123","[52.023079340785046,-1.0603987865630935]","2026-02-01 01:22:19.885","Base64EncodedString"
"9c68d3ed-aa67-4b0c-acf2-510e9909219d","Vehicle-DM258","Nikon-Camera-123","[52.061051696317584,-1.131039337053636]","2026-02-01 19:20:28.407","Base64EncodedString"
"2455f45b-2389-4e24-abaa-de5c9326987b","Vehicle-DM258","Nikon-Camera-123","[52.0706450765619,-1.1485443097325638]","2026-02-01 19:21:17.407","Base64EncodedString"
"2cfaf7a9-d1cd-45e1-b0a5-dbd37b0b43de","Vehicle-DM258","Nikon-Camera-123","[52.079935752284506,-1.166219806027946]","2026-02-01 19:22:06.407","Base64EncodedString"
"16c2f1be-eb83-466d-b3c4-caa01a249bdc","Vehicle-DM258","Nikon-Camera-123","[51.78819986604097,-0.6389903732773932]","2026-02-01 18:58:02.407","Base64EncodedString"
"c9f677f3-2329-4204-b0ba-e43c1b7bd60d","Vehicle-DM258","Nikon-Camera-123","[51.79783901217005,-0.6566069676018652]","2026-02-01 18:58:53.407","Base64EncodedString"
"dd5694a0-4ef3-4467-9497-183479066b76","Vehicle-DM258","Nikon-Camera-123","[52.051678515409186,-1.1131615280088463]","2026-02-01 01:25:00.885","Base64EncodedString"
"4913d59b-96b0-46f3-bbe2-68058c6ec247","Vehicle-DM258","Nikon-Camera-123","[52.061051696317584,-1.131039337053636]","2026-02-01 01:25:47.885","Base64EncodedString"
"78bfa20d-281b-4aac-818f-d31f9c4cd613","Vehicle-DM258","Nikon-Camera-123","[52.0706450765619,-1.1485443097325638]","2026-02-01 01:26:36.885","Base64EncodedString"
"d19058a5-e584-4a34-99cd-b249a4d22523","Vehicle-DM258","Nikon-Camera-123","[52.2767498806959,-1.5177235597572583]","2026-02-01 01:42:40.885","Base64EncodedString"
"3f9ba2aa-9a0c-435e-baa6-62342720c210","Vehicle-DM258","Nikon-Camera-123","[52.28682439350693,-1.5349730991605515]","2026-02-01 01:43:21.885","Base64EncodedString"
"c82852e6-c518-4146-97e8-50190199d6ed","Vehicle-DM258","Nikon-Camera-123","[52.29658072489578,-1.5530237997996446]","2026-02-01 01:44:15.885","Base64EncodedString"
"7a7168b2-a295-4d32-9abc-2ce4cd57fc29","Vehicle-DM258","Nikon-Camera-123","[52.206532747069545,-1.3955117049566836]","2026-02-01 19:32:34.407","Base64EncodedString"
"ae7c6092-2a95-4f41-8eab-359e2fe21c60","Vehicle-DM258","Nikon-Camera-123","[52.21643820653115,-1.4134029347135815]","2026-02-01 19:33:25.407","Base64EncodedString"
"3d98ae9a-313e-457a-9a8d-4ca10a168665","Vehicle-DM258","Nikon-Camera-123","[52.22642020769395,-1.4306255106515309]","2026-02-01 19:33:56.407","Base64EncodedString"
"0131ed13-ecdc-4818-9caa-bddeafcadd2a","Vehicle-DM258","Nikon-Camera-123","[51.76937664596153,-0.6042915243547452]","2026-02-01 18:56:38.407","Base64EncodedString"
"5969c755-fed3-4dc5-84fa-8e6cebfef5d3","Vehicle-DM258","Nikon-Camera-123","[51.778689432323425,-0.6216809598829901]","2026-02-01 18:57:18.407","Base64EncodedString"
"9df64a1e-69fa-40aa-90ed-e3c7fc2723e7","Vehicle-DM258","Nikon-Camera-123","[51.9748452818256,-0.9720205273974397]","2026-02-01 19:12:50.407","Base64EncodedString"
"8ca770b3-228d-4013-be8d-facb7ab3ec5d","Vehicle-DM258","Nikon-Camera-123","[51.98456876897061,-0.9894127320934264]","2026-02-01 19:13:50.407","Base64EncodedString"
"830d1cb1-007c-4215-a870-b825543b2a58","Vehicle-DM258","Nikon-Camera-123","[51.994135697219804,-1.0070879300932327]","2026-02-01 19:14:44.407","Base64EncodedString"
"c28b6175-dd4c-46aa-bc39-930dcc9778cf","Vehicle-DM258","Nikon-Camera-123","[51.885646429741556,-0.8132324485600234]","2026-02-01 19:06:04.407","Base64EncodedString"
"f2d35d30-61ab-4fad-aa60-dff0cc29dfec","Vehicle-DM258","Nikon-Camera-123","[51.89531746503399,-0.8312056432934463]","2026-02-01 19:06:40.407","Base64EncodedString"
"cd120958-3b5f-4ee7-a380-4c74ebe123f4","Vehicle-DM258","Nikon-Camera-123","[51.90546219706629,-0.8485660487173282]","2026-02-01 19:07:22.407","Base64EncodedString"
"3edda33d-d234-4222-80b5-8572b6c841e8","Vehicle-DM258","Nikon-Camera-123","[52.14681329949864,-1.289836254543811]","2026-02-01 01:33:18.885","Base64EncodedString"
"45d0684b-4cbd-4254-9656-4be1cbc8aaa0","Vehicle-DM258","Nikon-Camera-123","[52.15659967500335,-1.307245651217819]","2026-02-01 01:34:04.885","Base64EncodedString"
"148d02e9-5b4a-4bb2-88cb-e2b7f52e9bdb","Vehicle-DM258","Nikon-Camera-123","[51.965210078060295,-0.9543229054106744]","2026-02-01 01:17:28.885","Base64EncodedString"
"36760daf-3988-4b43-b648-d84eb5568404","Vehicle-DM258","Nikon-Camera-123","[51.9748452818256,-0.9720205273974397]","2026-02-01 01:18:09.885","Base64EncodedString"
